geography_code,total_pop,date,geography,value,cob_region,cob,percs
E09000024,215184,2021,Merton,1988,The Americas and the Caribbean,Jamaica,0.92
E09000025,351041,2021,Newham,2273,The Americas and the Caribbean,Jamaica,0.65
E09000026,310257,2021,Redbridge,1322,The Americas and the Caribbean,Jamaica,0.43
E09000027,195277,2021,Richmond upon Thames,164,The Americas and the Caribbean,Jamaica,0.08
E09000028,307632,2021,Southwark,4553,The Americas and the Caribbean,Jamaica,1.48
E09000029,209640,2021,Sutton,636,The Americas and the Caribbean,Jamaica,0.3
E09000030,310304,2021,Tower Hamlets,602,The Americas and the Caribbean,Jamaica,0.19
E09000031,278417,2021,Waltham Forest,3278,The Americas and the Caribbean,Jamaica,1.18
E09000032,327502,2021,Wandsworth,2944,The Americas and the Caribbean,Jamaica,0.9
E09000033,204238,2021,Westminster,567,The Americas and the Caribbean,Jamaica,0.28
E09000001,8579,2021,City of London,26,The Americas and the Caribbean,Other Caribbean,0.3
E09000002,218870,2021,Barking and Dagenham,1083,The Americas and the Caribbean,Other Caribbean,0.49
E09000003,389342,2021,Barnet,886,The Americas and the Caribbean,Other Caribbean,0.23
E09000004,246472,2021,Bexley,466,The Americas and the Caribbean,Other Caribbean,0.19
E09000005,339817,2021,Brent,2939,The Americas and the Caribbean,Other Caribbean,0.86
E09000006,329984,2021,Bromley,794,The Americas and the Caribbean,Other Caribbean,0.24
E09000007,210135,2021,Camden,700,The Americas and the Caribbean,Other Caribbean,0.33
E09000008,390719,2021,Croydon,2955,The Americas and the Caribbean,Other Caribbean,0.76
E09000009,367116,2021,Ealing,2884,The Americas and the Caribbean,Other Caribbean,0.79
E09000010,329987,2021,Enfield,2505,The Americas and the Caribbean,Other Caribbean,0.76
E09000011,289073,2021,Greenwich,1146,The Americas and the Caribbean,Other Caribbean,0.4
E09000012,259147,2021,Hackney,3177,The Americas and the Caribbean,Other Caribbean,1.23
E09000013,183149,2021,Hammersmith and Fulham,1526,The Americas and the Caribbean,Other Caribbean,0.83
E09000014,264236,2021,Haringey,3188,The Americas and the Caribbean,Other Caribbean,1.21
E09000015,261201,2021,Harrow,993,The Americas and the Caribbean,Other Caribbean,0.38
E09000016,262058,2021,Havering,838,The Americas and the Caribbean,Other Caribbean,0.32
E09000017,305912,2021,Hillingdon,1206,The Americas and the Caribbean,Other Caribbean,0.39
E09000018,288177,2021,Hounslow,860,The Americas and the Caribbean,Other Caribbean,0.3
E09000019,216589,2021,Islington,1287,The Americas and the Caribbean,Other Caribbean,0.59
E09000020,143375,2021,Kensington and Chelsea,876,The Americas and the Caribbean,Other Caribbean,0.61
E09000021,168064,2021,Kingston upon Thames,322,The Americas and the Caribbean,Other Caribbean,0.19
E09000022,317654,2021,Lambeth,2867,The Americas and the Caribbean,Other Caribbean,0.9
E09000023,300556,2021,Lewisham,3084,The Americas and the Caribbean,Other Caribbean,1.03
E09000024,215184,2021,Merton,1049,The Americas and the Caribbean,Other Caribbean,0.49
E09000025,351041,2021,Newham,2782,The Americas and the Caribbean,Other Caribbean,0.79
E09000026,310257,2021,Redbridge,1630,The Americas and the Caribbean,Other Caribbean,0.53
E09000027,195277,2021,Richmond upon Thames,346,The Americas and the Caribbean,Other Caribbean,0.18
E09000028,307632,2021,Southwark,3048,The Americas and the Caribbean,Other Caribbean,0.99
E09000029,209640,2021,Sutton,466,The Americas and the Caribbean,Other Caribbean,0.22
E09000030,310304,2021,Tower Hamlets,1263,The Americas and the Caribbean,Other Caribbean,0.41
E09000031,278417,2021,Waltham Forest,2887,The Americas and the Caribbean,Other Caribbean,1.04
E09000032,327502,2021,Wandsworth,1397,The Americas and the Caribbean,Other Caribbean,0.43
E09000033,204238,2021,Westminster,1140,The Americas and the Caribbean,Other Caribbean,0.56
