date,geography,geography_code,total_pop,value,cob_region,cob,percs
2021,East of England,E12000006,6335077,38455,Europe,Wales,0.61
2021,London,E12000007,8799725,44806,Europe,Wales,0.51
2021,South East,E12000008,9278064,85199,Europe,Wales,0.92
2021,South West,E12000009,5701188,103669,Europe,Wales,1.82
2021,North East,E12000001,2647004,255,Middle East and Asia,Central Asia,0.01
2021,North West,E12000002,7417398,597,Middle East and Asia,Central Asia,0.01
2021,Yorkshire and The Humber,E12000003,5480772,419,Middle East and Asia,Central Asia,0.01
2021,East Midlands,E12000004,4880054,497,Middle East and Asia,Central Asia,0.01
2021,West Midlands,E12000005,5950757,588,Middle East and Asia,Central Asia,0.01
2021,East of England,E12000006,6335077,1056,Middle East and Asia,Central Asia,0.02
2021,London,E12000007,8799725,6207,Middle East and Asia,Central Asia,0.07
2021,South East,E12000008,9278064,1988,Middle East and Asia,Central Asia,0.02
2021,South West,E12000009,5701188,707,Middle East and Asia,Central Asia,0.01
2021,North East,E12000001,2647004,6676,Middle East and Asia,China,0.25
2021,North West,E12000002,7417398,22792,Middle East and Asia,China,0.31
2021,Yorkshire and The Humber,E12000003,5480772,15271,Middle East and Asia,China,0.28
2021,East Midlands,E12000004,4880054,9601,Middle East and Asia,China,0.2
2021,West Midlands,E12000005,5950757,14638,Middle East and Asia,China,0.25
2021,East of England,E12000006,6335077,13817,Middle East and Asia,China,0.22
2021,London,E12000007,8799725,56116,Middle East and Asia,China,0.64
2021,South East,E12000008,9278064,26069,Middle East and Asia,China,0.28
2021,South West,E12000009,5701188,11091,Middle East and Asia,China,0.19
2021,North East,E12000001,2647004,3343,Middle East and Asia,Hong Kong,0.13
2021,North West,E12000002,7417398,12770,Middle East and Asia,Hong Kong,0.17
2021,Yorkshire and The Humber,E12000003,5480772,6840,Middle East and Asia,Hong Kong,0.12
2021,East Midlands,E12000004,4880054,6317,Middle East and Asia,Hong Kong,0.13
2021,West Midlands,E12000005,5950757,8802,Middle East and Asia,Hong Kong,0.15
2021,East of England,E12000006,6335077,10543,Middle East and Asia,Hong Kong,0.17
2021,London,E12000007,8799725,33760,Middle East and Asia,Hong Kong,0.38
2021,South East,E12000008,9278064,24708,Middle East and Asia,Hong Kong,0.27
2021,South West,E12000009,5701188,10631,Middle East and Asia,Hong Kong,0.19
2021,North East,E12000001,2647004,1054,Middle East and Asia,Other Eastern Asia,0.04
2021,North West,E12000002,7417398,3699,Middle East and Asia,Other Eastern Asia,0.05
2021,Yorkshire and The Humber,E12000003,5480772,2370,Middle East and Asia,Other Eastern Asia,0.04
2021,East Midlands,E12000004,4880054,2291,Middle East and Asia,Other Eastern Asia,0.05
2021,West Midlands,E12000005,5950757,3049,Middle East and Asia,Other Eastern Asia,0.05
2021,East of England,E12000006,6335077,5352,Middle East and Asia,Other Eastern Asia,0.08
2021,London,E12000007,8799725,35577,Middle East and Asia,Other Eastern Asia,0.4
2021,South East,E12000008,9278064,10857,Middle East and Asia,Other Eastern Asia,0.12
2021,South West,E12000009,5701188,3918,Middle East and Asia,Other Eastern Asia,0.07
2021,North East,E12000001,2647004,4659,Middle East and Asia,Iran,0.18
2021,North West,E12000002,7417398,14724,Middle East and Asia,Iran,0.2
2021,Yorkshire and The Humber,E12000003,5480772,8588,Middle East and Asia,Iran,0.16
2021,East Midlands,E12000004,4880054,4235,Middle East and Asia,Iran,0.09
2021,West Midlands,E12000005,5950757,9353,Middle East and Asia,Iran,0.16
2021,East of England,E12000006,6335077,5783,Middle East and Asia,Iran,0.09
2021,London,E12000007,8799725,43852,Middle East and Asia,Iran,0.5
2021,South East,E12000008,9278064,11601,Middle East and Asia,Iran,0.13
2021,South West,E12000009,5701188,4007,Middle East and Asia,Iran,0.07
2021,North East,E12000001,2647004,11390,Middle East and Asia,Other Middle East,0.43
2021,North West,E12000002,7417398,41245,Middle East and Asia,Other Middle East,0.56
2021,Yorkshire and The Humber,E12000003,5480772,28022,Middle East and Asia,Other Middle East,0.51
2021,East Midlands,E12000004,4880054,14555,Middle East and Asia,Other Middle East,0.3
2021,West Midlands,E12000005,5950757,28816,Middle East and Asia,Other Middle East,0.48
2021,East of England,E12000006,6335077,16042,Middle East and Asia,Other Middle East,0.25
2021,London,E12000007,8799725,105159,Middle East and Asia,Other Middle East,1.2
2021,South East,E12000008,9278064,30371,Middle East and Asia,Other Middle East,0.33
2021,South West,E12000009,5701188,13600,Middle East and Asia,Other Middle East,0.24
2021,North East,E12000001,2647004,6009,Middle East and Asia,Other South-East Asia,0.23
2021,North West,E12000002,7417398,19741,Middle East and Asia,Other South-East Asia,0.27
2021,Yorkshire and The Humber,E12000003,5480772,15030,Middle East and Asia,Other South-East Asia,0.27
2021,East Midlands,E12000004,4880054,13436,Middle East and Asia,Other South-East Asia,0.28
2021,West Midlands,E12000005,5950757,16162,Middle East and Asia,Other South-East Asia,0.27
2021,East of England,E12000006,6335077,23851,Middle East and Asia,Other South-East Asia,0.38
2021,London,E12000007,8799725,68269,Middle East and Asia,Other South-East Asia,0.78
2021,South East,E12000008,9278064,43745,Middle East and Asia,Other South-East Asia,0.47
2021,South West,E12000009,5701188,20809,Middle East and Asia,Other South-East Asia,0.36
2021,North East,E12000001,2647004,4343,Middle East and Asia,Philippines,0.16
2021,North West,E12000002,7417398,9633,Middle East and Asia,Philippines,0.13
2021,Yorkshire and The Humber,E12000003,5480772,6694,Middle East and Asia,Philippines,0.12
2021,East Midlands,E12000004,4880054,6596,Middle East and Asia,Philippines,0.14
2021,West Midlands,E12000005,5950757,8869,Middle East and Asia,Philippines,0.15
2021,East of England,E12000006,6335077,18065,Middle East and Asia,Philippines,0.29
2021,London,E12000007,8799725,54930,Middle East and Asia,Philippines,0.62
2021,South East,E12000008,9278064,28291,Middle East and Asia,Philippines,0.3
2021,South West,E12000009,5701188,12053,Middle East and Asia,Philippines,0.21
2021,North East,E12000001,2647004,6739,Middle East and Asia,Bangladesh,0.25
2021,North West,E12000002,7417398,23876,Middle East and Asia,Bangladesh,0.32
2021,Yorkshire and The Humber,E12000003,5480772,11068,Middle East and Asia,Bangladesh,0.2
2021,East Midlands,E12000004,4880054,9054,Middle East and Asia,Bangladesh,0.19
2021,West Midlands,E12000005,5950757,30453,Middle East and Asia,Bangladesh,0.51
2021,East of England,E12000006,6335077,21677,Middle East and Asia,Bangladesh,0.34
2021,London,E12000007,8799725,138895,Middle East and Asia,Bangladesh,1.58
2021,South East,E12000008,9278064,18440,Middle East and Asia,Bangladesh,0.2
2021,South West,E12000009,5701188,6085,Middle East and Asia,Bangladesh,0.11
2021,North East,E12000001,2647004,13868,Middle East and Asia,India,0.52
2021,North West,E12000002,7417398,60180,Middle East and Asia,India,0.81
2021,Yorkshire and The Humber,E12000003,5480772,37179,Middle East and Asia,India,0.68
2021,East Midlands,E12000004,4880054,102948,Middle East and Asia,India,2.11
2021,West Midlands,E12000005,5950757,127319,Middle East and Asia,India,2.14
2021,East of England,E12000006,6335077,69472,Middle East and Asia,India,1.1
2021,London,E12000007,8799725,322644,Middle East and Asia,India,3.67
2021,South East,E12000008,9278064,132608,Middle East and Asia,India,1.43
